Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Охріменко,Симон,Федорович,male,1950-10-22,Тестувальник,селище Хоростків,"площа Просьолочна, буд. 49 кв. 30, Підгайці, 82895",864 51 25,ubevz@example.org
Теліженко,Петро,Тимофійович,male,1999-06-26,Аналітик даних,селище Великі Мости,"вулиця Грецька, буд. 463 кв. 9, Турка, 27740",+380 95 203 01 60,bohdan13@example.com
Тихий,Святослава,Остапівна,female,1939-12-12,Системний адміністратор,село Генічеськ,"вулиця Стельмаха, буд. 27 кв. 8, Винники, 39794",027 944-18-28,fverhun@example.net
Лукаш,Аарон,Тарасович,male,2006-10-20,Фінансовий аналітик,селище Маріуполь,"вулиця Змієнка Всеволода, буд. 905 кв. 65, Соснівка , 40246",024 935 02 65,whabelko@example.org
Євтушок,Ірена,Кирилівна,female,1939-01-23,Тестувальник,місто Ялта,"узвіз Ковалевського узвіз, буд. 930, Покровськ, 08613",+380 77 063 74 73,fastenkoedyta@example.org
Зайченко,Борислав,Ігорович,male,1984-02-25,Аудитор,село Вишгород,"парк Ананьївська, буд. 2 кв. 8, Пустомити, 99792",169 39 23,halynaatroshchenko@example.com
Карпенко,Володимира,Олександрівна,female,1967-02-01,Фінансовий аналітик,селище Новий Буг,"шосе Регенсбург, буд. 9 кв. 763, Судак , 04375",+380 65 131-15-57,mykolai28@example.org
Адаменко,Вадим,Тарасович,male,1972-07-24,HR-менеджер,хутір Великі Мости,"парк Спартаківський, буд. 303, Кіцмань, 19131",049 770-75-27,gfurs@example.net
Усик,Богдан,Денисович,male,2004-10-01,Бухгалтер,місто Перечин,"шосе Басейний 1-й, буд. 107, Бахмут, 56503",087 500 62 99,yandreiko@example.com
Бараник,Артем,Ігорович,male,1942-03-27,Копірайтер,село Соледар,"парк Шухевича Романа, буд. 709, Городня, 46770",+380 83 249-72-10,haievskyiavhustyn@example.net
Акуленко,Арсен,Данилович,male,1991-06-28,Менеджер з маркетингу,селище Корюківка,"сквер 21-й км Старокиївської дороги, буд. 3, Лозова , 26346",+380 83 031 33 78,risaienko@example.net
Романчук,Герман,Давидович,male,1939-02-10,Аудитор,село Галич,"парк Весняна, буд. 95, Болград, 93741",+380 31 646-31-35,marusiasalii@example.org
Носаченко,Артем,Петрович,male,1965-08-02,Менеджер з продажу,хутір Львів,"провулок Сурикова, буд. 04 кв. 271, Стрий, 58208",+380 75 978-67-87,mykytiukokhrim@example.net
Фесенко,Дмитро,Денисович,male,1951-11-22,Асистент керівника,село Кагарлик,"площа Гілельса, буд. 270 кв. 59, Добропілля, 01089",051 717 17 95,andriidavymuka@example.net
Сіробаба,Гліб,Олексійович,male,1974-09-18,Менеджер з маркетингу,селище Яворів,"парк Недєліна, буд. 9 кв. 3, Помічна, 55873",085 854-03-65,feofangzhytskyi@example.com
Гук,Аврелій,Борисович,male,1972-05-06,Аудитор,селище Хмільник,"шосе Утьосова, буд. 04 кв. 036, Кам'янка-Бузька, 50151",+380 (52) 505-47-89,okseniia20@example.com
Ребрик,Аніта,Ярославівна,female,1974-12-26,Менеджер з закупівель,селище Кипуче,"парк Морехідний, буд. 8 кв. 7, Острог, 50698",+380 85 070-18-64,bohuslava14@example.org
Бандура,Станіслав,Павлович,male,1939-02-04,HR-менеджер,селище Вижниця,"сквер Бузкова, буд. 673 кв. 0, Татарбунари, 04783",+380 46 182-77-52,ierchenkoiustyna@example.net
Іваненко,Герман,Павлович,male,1948-02-05,Менеджер з маркетингу,хутір Івано-Франківськ,"парк Танкістів, буд. 481, Світловодськ, 37237",+380 72 866 35 07,hermangerus@example.net
Іщак,Орина,Сергіївна,female,1951-04-21,Кадровий менеджер,місто Знам'янка,"шосе Амундсена, 3-й, буд. 94, Борислав, 70998",+380 (45) 075-43-30,ashylo@example.com
Литвиненко,Світлана,Петрівна,female,1962-04-13,Кадровий менеджер,село Роздільна,"площа Сумський, буд. 97, Нова Одеса, 61710",+380 87 194-34-55,leonidvashchenko-zakharchenko@example.org
Рябошапка,Орина,Геннадіївна,female,1943-01-14,PR-менеджер,хутір Скалат,"площа Тимірязєва, буд. 576 кв. 87, Моспине, 97172",627 24 18,okhrimenkoherman@example.com
Скоробогатько,Давид,Федорович,male,1999-12-17,Менеджер з закупівель,хутір Пирятин,"парк Братів Поджіо, буд. 07 кв. 3, Немирів, 01071",+380 03 571-84-46,klyment82@example.com
Кащенко,Роман,Мар'янович,male,1961-07-14,PR-менеджер,хутір Ізюм,"парк Абрикосова, буд. 977 кв. 15, Копичинці, 73899",+380 (09) 773-42-44,pilchenko@example.org
Дергач,Георгій,Борисович,male,1968-09-17,Менеджер з продажу,хутір Чугуїв,"вулиця Бісквітний, буд. 20, Вознесенівка, 49423",+380 53 453 85 40,kvermenych@example.net
Артюшенко,Орина,Кирилівна,female,1997-08-24,Тестувальник,селище Ланівці,"шосе Задніпровського, буд. 349 кв. 5, Привілля, 60762",024 514 04 99,serhii25@example.net
Ніколюк,Святослава,Федорівна,female,1970-07-03,Офіс-менеджер,місто Кам'янець-Подільський,"сквер Болгарська, буд. 28, Арциз, 05449",+380 95 562-06-94,semenzabara@example.com
Шухевич,Одарка,Євгенівна,female,2006-02-03,Менеджер з продажу,село Сніжне,"проспект Джутовий, буд. 6, Ровеньки, 65796",+380 (42) 909-78-57,lizasimashkevych@example.org
Шморгун,Пилип,Володимирович,male,2005-01-15,Офіс-менеджер,місто Боярка,"проспект 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 56, Чортків, 70617",022 029-74-57,karashlib@example.org
Лупій,Наталія,Назарівна,female,1965-11-07,Фінансовий аналітик,селище Южне,"вулиця Долинська, буд. 961, Вараш, 11098",+380 10 154 43 06,tereshchenkoveniiamyn@example.org
Саченко,Андрій,Володимирович,male,1983-11-09,Менеджер з маркетингу,село Вараш,"парк Кінна, буд. 5 кв. 519, Ізяслав, 93677",838-77-36,artem85@example.com
Батіг,Алла,Станіславівна,female,1947-02-01,Копірайтер,хутір Іршава,"проспект Степна, буд. 978 кв. 8, Лиман , 25347",805-29-93,bandurkaonysym@example.com
Яремчук,Валентина,Олександрівна,female,1976-04-05,Системний адміністратор,місто Рівне,"узвіз Улітіна, буд. 8, Долинська, 69519",+380 (81) 333-92-64,hzabashta@example.org
Михайлюк,Марʼяна,Володимирівна,female,1988-01-29,Асистент керівника,місто Балаклія,"набережна Матюшенка, буд. 43, Снігурівка, 53972",144-32-27,bashtanhennadii@example.com
Бебешко,Георгій,Євгенович,male,1975-11-15,Офіс-менеджер,хутір Мала Виска,"набережна Лугова, буд. 39 кв. 91, Кам'янка (Черкаська область), 77819",054 557 00 67,stefanbandura@example.net
Василевич,Ростислав,Леонідович,male,1942-02-06,Тестувальник,село Авдіївка,"провулок Монгольська, буд. 41 кв. 59, Гадяч, 50776",+380 72 902-83-42,boryslavakulenko@example.org
